level,seed,error,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,2,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
2,1,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
2,3,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
1,5,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
1,4,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
2,5,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
1,2,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
2,2,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
0,1,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
0,4,"rollout_failed: s/twaldin/dev/hone-a-drone/run_rollout.py"", line 26, in _load_planner_cls
    mod = importlib.util.module_from_spec(spec)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<frozen importlib._bootstrap>"", line 570, in module_from_spec
AttributeError: 'NoneType' object has no attribute 'loader'
",0,4,35.0,True,import_error,0.0,[],[],0.0,0.0,0.0
