level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,4,1,4,3.2,True,out_of_bounds,1.671,[2.3],[2.07],0.028,0.085,0.125
1,5,1,4,3.2,True,out_of_bounds,1.677,[2.28],[1.4],0.025,0.142,0.125
0,1,1,4,3.22,True,out_of_bounds,1.665,[2.28],[2.98],0.028,0.561,0.125
0,5,1,4,3.22,True,out_of_bounds,1.653,[2.3],[2.18],0.027,0.249,0.125
0,2,1,4,3.22,True,out_of_bounds,1.652,[2.28],[2.15],0.025,0.107,0.125
1,2,1,4,3.24,True,out_of_bounds,1.623,[2.3],[2.54],0.025,0.094,0.125
1,4,1,4,3.18,True,out_of_bounds,1.689,[2.26],[1.24],0.027,0.208,0.125
2,2,1,4,3.18,True,out_of_bounds,1.59,[2.32],[6.02],0.027,0.711,0.125
0,3,1,4,3.22,True,out_of_bounds,1.668,[2.28],[2.21],0.027,0.705,0.125
2,5,1,4,3.12,True,out_of_bounds,1.609,[2.38],[4.54],0.025,0.172,0.125
2,4,0,4,2.16,True,out_of_bounds,1.621,[],[],0.025,0.199,0.0
2,3,1,4,3.28,True,out_of_bounds,1.721,[2.24],[9.3],0.026,0.214,0.125
1,3,1,4,3.26,True,out_of_bounds,1.709,[2.32],[3.0],0.027,0.579,0.125
2,1,1,4,3.24,True,out_of_bounds,1.69,[2.12],[10.69],0.024,0.097,0.125
1,1,1,4,3.18,True,out_of_bounds,1.679,[2.26],[4.01],0.026,0.09,0.125
3,1,1,4,4.48,True,out_of_bounds,1.61,[1.94],[4.22],0.056,0.159,0.125
3,3,0,4,30.0,False,timeout,1.58,[],[],0.011,0.026,0.0
3,4,0,4,30.0,False,timeout,1.563,[],[],0.011,0.026,0.0
3,5,0,4,30.0,False,timeout,1.611,[],[],0.011,0.026,0.0
3,2,0,4,30.0,False,timeout,1.596,[],[],0.011,0.027,0.0
