level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.78,True,out_of_bounds,1.13,[],[],0.028,0.098,0.0
0,2,1,4,6.6,True,out_of_bounds,1.14,[2.92],[15.01],0.032,0.472,0.125
2,1,1,4,6.72,True,out_of_bounds,1.107,[2.68],[30.28],0.031,0.611,0.125
0,4,1,4,6.6,True,out_of_bounds,1.133,[2.92],[15.38],0.028,0.129,0.125
2,3,2,4,8.88,True,out_of_bounds,1.146,"[2.84, 6.68]","[28.92, 15.7]",0.027,0.149,0.25
1,2,1,4,6.64,True,out_of_bounds,1.137,[2.96],[13.6],0.026,0.127,0.125
1,5,3,4,12.54,True,out_of_bounds,1.15,"[2.9, 6.58, 10.46]","[13.63, 6.1, 5.27]",0.028,0.29,0.375
2,5,2,4,10.42,True,out_of_bounds,1.15,"[3.06, 6.74]","[6.09, 5.58]",0.029,0.554,0.25
0,1,3,4,12.54,True,out_of_bounds,1.149,"[2.9, 6.6, 10.48]","[16.31, 8.47, 4.95]",0.029,0.397,0.375
1,1,3,4,12.5,True,out_of_bounds,1.155,"[2.86, 6.54, 10.42]","[15.3, 6.92, 6.69]",0.028,0.278,0.375
0,3,3,4,12.54,True,out_of_bounds,1.141,"[2.9, 6.62, 10.48]","[16.74, 3.28, 6.19]",0.029,0.424,0.375
0,5,3,4,12.56,True,out_of_bounds,1.163,"[2.92, 6.6, 10.48]","[12.85, 7.42, 5.52]",0.029,0.348,0.375
1,4,3,4,12.48,True,out_of_bounds,1.134,"[2.86, 6.54, 10.4]","[14.9, 6.31, 6.39]",0.029,0.468,0.375
2,2,3,4,11.34,True,out_of_bounds,1.155,"[3.0, 6.48, 10.56]","[9.46, 1.9, 15.76]",0.028,0.457,0.375
1,3,3,4,12.58,True,out_of_bounds,1.146,"[2.94, 6.66, 10.52]","[15.55, 3.26, 7.14]",0.029,0.558,0.375
3,1,1,4,12.12,True,out_of_bounds,0.859,[2.02],[14.61],0.039,0.428,0.125
3,5,0,4,5.2,True,out_of_bounds,0.945,[],[],0.013,0.032,0.0
3,2,0,4,30.0,False,timeout,1.199,[],[],0.012,0.031,0.0
3,3,0,4,30.0,False,timeout,1.203,[],[],0.012,0.031,0.0
3,4,0,4,30.0,False,timeout,1.207,[],[],0.013,0.032,0.0
