level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,4,1,4,3.14,True,out_of_bounds,1.601,[2.34],[2.22],0.025,0.074,0.125
0,3,1,4,3.14,True,out_of_bounds,1.574,[2.32],[1.91],0.027,0.395,0.125
0,2,1,4,3.14,True,out_of_bounds,1.58,[2.32],[2.4],0.03,0.877,0.125
0,1,1,4,3.14,True,out_of_bounds,1.508,[2.32],[2.81],0.024,0.548,0.125
1,5,1,4,3.14,True,out_of_bounds,1.596,[2.32],[3.92],0.024,0.235,0.125
2,3,1,4,3.24,True,out_of_bounds,1.601,[2.28],[7.35],0.023,0.202,0.125
2,4,0,4,2.16,True,out_of_bounds,1.61,[],[],0.025,0.354,0.0
2,1,1,4,3.2,True,out_of_bounds,1.522,[2.14],[11.55],0.022,0.074,0.125
0,5,1,4,3.14,True,out_of_bounds,1.599,[2.32],[3.31],0.029,0.414,0.125
1,1,1,4,3.1,True,out_of_bounds,1.522,[2.3],[1.93],0.025,0.285,0.125
1,2,1,4,3.16,True,out_of_bounds,1.574,[2.32],[1.76],0.029,0.407,0.125
1,3,1,4,3.2,True,out_of_bounds,1.601,[2.36],[3.05],0.027,0.435,0.125
2,2,1,4,3.34,True,out_of_bounds,1.574,[2.38],[6.88],0.023,0.068,0.125
1,4,1,4,3.12,True,out_of_bounds,1.61,[2.3],[3.17],0.029,0.858,0.125
2,5,1,4,3.12,True,out_of_bounds,1.596,[2.44],[5.88],0.023,0.18,0.125
3,1,1,4,5.42,True,out_of_bounds,1.419,[1.16],[17.77],0.057,0.177,0.125
3,2,0,4,30.0,False,timeout,1.186,[],[],0.011,0.026,0.0
3,4,0,4,30.0,False,timeout,1.155,[],[],0.011,0.025,0.0
3,5,0,4,30.0,False,timeout,1.176,[],[],0.011,0.025,0.0
3,3,0,4,30.0,False,timeout,1.178,[],[],0.011,0.026,0.0
