level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.56,True,out_of_bounds,1.615,[],[],0.051,0.66,0.0
2,2,2,4,7.02,True,out_of_bounds,1.557,"[2.82, 4.5]","[5.69, 8.03]",0.048,0.435,0.25
0,2,3,4,8.32,True,out_of_bounds,1.559,"[2.74, 4.6, 7.0]","[2.51, 7.92, 15.85]",0.055,1.197,0.375
1,5,3,4,8.3,True,out_of_bounds,1.577,"[2.72, 4.56, 6.98]","[4.09, 5.42, 18.46]",0.047,0.727,0.375
0,1,3,4,8.34,True,out_of_bounds,1.602,"[2.76, 4.6, 7.0]","[1.53, 9.78, 18.19]",0.048,0.585,0.375
0,3,3,4,8.32,True,out_of_bounds,1.57,"[2.74, 4.6, 7.0]","[3.85, 8.8, 19.76]",0.049,0.5,0.375
0,5,3,4,8.32,True,out_of_bounds,1.55,"[2.74, 4.6, 7.02]","[4.86, 6.05, 17.8]",0.05,0.361,0.375
1,3,3,4,8.38,True,out_of_bounds,1.589,"[2.8, 4.66, 7.06]","[1.01, 8.33, 18.67]",0.05,0.617,0.375
1,4,3,4,8.28,True,out_of_bounds,1.615,"[2.72, 4.56, 6.96]","[1.59, 7.37, 19.64]",0.053,1.262,0.375
0,4,3,4,8.32,True,out_of_bounds,1.61,"[2.74, 4.6, 7.0]","[0.75, 6.91, 18.96]",0.049,0.587,0.375
2,1,3,4,8.42,True,out_of_bounds,1.597,"[2.52, 4.68, 6.88]","[9.25, 11.0, 8.47]",0.052,0.544,0.375
2,3,3,4,8.46,True,out_of_bounds,1.589,"[2.68, 4.7, 7.02]","[12.74, 18.92, 16.11]",0.051,0.402,0.375
2,5,3,4,9.78,True,out_of_bounds,1.624,"[2.86, 4.7, 7.0]","[3.92, 5.86, 16.91]",0.051,0.829,0.375
1,1,3,4,8.3,True,out_of_bounds,1.597,"[2.7, 4.56, 6.96]","[2.61, 8.53, 18.11]",0.051,0.67,0.375
1,2,3,4,8.34,True,out_of_bounds,1.557,"[2.78, 4.62, 7.04]","[2.4, 7.93, 19.28]",0.047,0.371,0.375
3,1,1,4,30.0,False,timeout,1.285,[1.92],[7.19],0.034,0.273,0.25
3,2,0,4,30.0,False,timeout,1.34,[],[],0.026,0.053,0.0
3,4,0,4,30.0,False,timeout,1.287,[],[],0.026,0.057,0.0
3,3,0,4,30.0,False,timeout,1.276,[],[],0.026,0.054,0.0
3,5,0,4,30.0,False,timeout,1.302,[],[],0.026,0.054,0.0
