level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,1.9,True,out_of_bounds,1.56,[],[],0.024,0.315,0.0
2,4,0,4,2.4,True,out_of_bounds,1.624,[],[],0.023,0.104,0.0
2,1,1,4,4.76,True,out_of_bounds,1.583,[2.38],[6.17],0.02,0.387,0.125
2,2,2,4,6.86,True,out_of_bounds,1.675,"[2.6, 4.56]","[6.23, 8.04]",0.021,0.163,0.25
0,1,3,4,7.76,True,out_of_bounds,1.692,"[2.54, 4.66, 6.84]","[3.92, 8.12, 22.0]",0.026,0.343,0.375
0,2,3,4,7.76,True,out_of_bounds,1.669,"[2.52, 4.66, 6.84]","[3.14, 7.07, 19.84]",0.024,0.407,0.375
0,4,3,4,7.78,True,out_of_bounds,1.709,"[2.54, 4.66, 6.84]","[2.11, 6.44, 22.07]",0.023,0.611,0.375
0,5,3,4,7.76,True,out_of_bounds,1.702,"[2.54, 4.66, 6.86]","[1.16, 5.42, 22.63]",0.024,0.503,0.375
0,3,3,4,7.76,True,out_of_bounds,1.683,"[2.54, 4.66, 6.84]","[4.07, 7.82, 22.35]",0.023,0.317,0.375
1,2,3,4,7.78,True,out_of_bounds,1.675,"[2.56, 4.68, 6.88]","[2.18, 8.1, 20.45]",0.025,0.524,0.375
1,1,3,4,7.74,True,out_of_bounds,1.688,"[2.5, 4.62, 6.82]","[4.37, 8.31, 22.4]",0.024,0.414,0.375
1,4,3,4,7.74,True,out_of_bounds,1.699,"[2.5, 4.62, 6.8]","[2.71, 6.51, 21.96]",0.027,0.461,0.375
1,5,3,4,7.74,True,out_of_bounds,1.719,"[2.52, 4.62, 6.82]","[2.08, 5.62, 23.88]",0.026,0.214,0.375
2,3,3,4,8.76,True,out_of_bounds,1.714,"[2.52, 4.74, 6.86]","[7.3, 17.7, 21.06]",0.026,0.376,0.375
1,3,3,4,7.82,True,out_of_bounds,1.714,"[2.58, 4.72, 6.9]","[2.97, 7.79, 22.92]",0.028,0.602,0.375
3,1,1,4,5.7,True,out_of_bounds,1.341,[2.46],[0.04],0.05,0.367,0.125
3,2,0,4,30.0,False,timeout,1.46,[],[],0.011,0.026,0.0
3,3,0,4,30.0,False,timeout,1.458,[],[],0.011,0.029,0.0
3,4,0,4,30.0,False,timeout,1.439,[],[],0.011,0.026,0.0
3,5,0,4,30.0,False,timeout,1.443,[],[],0.011,0.028,0.0
