level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,3,0,4,5.76,True,out_of_bounds,0.743,[],[],0.056,0.418,0.0
0,1,0,4,5.8,True,out_of_bounds,0.728,[],[],0.052,0.575,0.0
0,2,0,4,5.78,True,out_of_bounds,0.739,[],[],0.058,0.992,0.0
0,5,0,4,5.78,True,out_of_bounds,0.734,[],[],0.051,0.327,0.0
0,4,0,4,5.88,True,out_of_bounds,0.733,[],[],0.051,0.564,0.0
1,3,0,4,5.9,True,out_of_bounds,0.707,[],[],0.054,0.783,0.0
1,2,0,4,5.84,True,out_of_bounds,0.79,[],[],0.055,1.111,0.0
2,4,0,4,5.58,True,out_of_bounds,0.691,[],[],0.045,0.56,0.0
1,1,0,4,5.66,True,out_of_bounds,0.719,[],[],0.056,1.069,0.0
1,5,0,4,5.66,True,out_of_bounds,0.701,[],[],0.055,1.404,0.0
2,3,0,4,5.7,True,out_of_bounds,0.707,[],[],0.054,1.143,0.0
2,5,0,4,5.98,True,out_of_bounds,0.701,[],[],0.054,0.647,0.0
2,1,0,4,5.28,True,out_of_bounds,0.719,[],[],0.056,0.695,0.0
1,4,0,4,5.7,True,out_of_bounds,0.691,[],[],0.058,0.882,0.0
2,2,0,4,5.98,True,out_of_bounds,0.79,[],[],0.061,0.475,0.0
3,1,0,4,6.24,True,out_of_bounds,0.715,[],[],0.122,0.677,0.0
3,4,0,4,30.0,False,timeout,0.723,[],[],0.028,0.056,0.0
3,3,0,4,30.0,False,timeout,0.736,[],[],0.029,0.058,0.0
3,2,0,4,30.0,False,timeout,0.811,[],[],0.029,0.056,0.0
3,5,0,4,30.0,False,timeout,0.737,[],[],0.029,0.057,0.0
