level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.14,True,out_of_bounds,1.57,[],[],0.025,0.596,0.0
2,5,0,4,1.66,True,out_of_bounds,1.563,[],[],0.025,0.357,0.0
2,1,1,4,4.52,True,out_of_bounds,1.484,[2.12],[9.09],0.022,0.644,0.125
0,4,3,4,7.52,True,out_of_bounds,1.665,"[2.3, 4.42, 6.6]","[2.32, 10.2, 22.62]",0.02,0.404,0.375
0,2,3,4,7.5,True,out_of_bounds,1.704,"[2.28, 4.4, 6.6]","[1.84, 5.34, 21.99]",0.023,0.739,0.375
0,5,3,4,7.5,True,out_of_bounds,1.709,"[2.3, 4.42, 6.6]","[2.8, 8.1, 23.1]",0.023,0.195,0.375
0,1,3,4,7.52,True,out_of_bounds,1.671,"[2.28, 4.4, 6.6]","[1.18, 7.88, 23.03]",0.024,0.699,0.375
1,1,3,4,7.48,True,out_of_bounds,1.662,"[2.26, 4.38, 6.56]","[0.14, 7.01, 22.01]",0.027,0.357,0.375
1,5,3,4,7.5,True,out_of_bounds,1.721,"[2.28, 4.4, 6.58]","[2.78, 7.38, 22.2]",0.025,0.169,0.375
1,2,3,4,7.52,True,out_of_bounds,1.71,"[2.3, 4.44, 6.62]","[1.25, 6.67, 21.23]",0.026,0.497,0.375
1,4,3,4,7.5,True,out_of_bounds,1.68,"[2.26, 4.38, 6.56]","[2.83, 9.72, 22.7]",0.024,0.354,0.375
1,3,3,4,7.56,True,out_of_bounds,1.713,"[2.32, 4.46, 6.64]","[1.92, 7.38, 21.75]",0.025,0.336,0.375
0,3,3,4,7.5,True,out_of_bounds,1.699,"[2.3, 4.4, 6.6]","[1.83, 8.27, 21.21]",0.024,0.188,0.375
2,2,2,4,6.62,True,out_of_bounds,1.71,"[2.34, 4.32]","[6.45, 8.01]",0.025,0.256,0.25
2,3,3,4,8.5,True,out_of_bounds,1.713,"[2.24, 4.48, 6.6]","[7.1, 18.89, 19.84]",0.027,0.538,0.375
3,1,1,4,6.28,True,out_of_bounds,1.17,[1.94],[3.01],0.048,0.162,0.125
3,3,0,4,30.0,False,timeout,1.162,[],[],0.01,0.027,0.0
3,2,0,4,30.0,False,timeout,1.141,[],[],0.011,0.027,0.0
3,4,0,4,30.0,False,timeout,1.177,[],[],0.011,0.025,0.0
3,5,0,4,30.0,False,timeout,1.17,[],[],0.01,0.027,0.0
