level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,0,4,2.08,True,out_of_bounds,1.475,[],[],0.023,0.578,0.0
2,5,0,4,2.2,True,out_of_bounds,1.513,[],[],0.022,0.649,0.0
2,3,1,4,4.3,True,out_of_bounds,1.507,[2.06],[24.67],0.022,0.29,0.125
2,1,2,4,5.58,True,out_of_bounds,1.53,"[1.94, 4.4]","[28.9, 21.56]",0.023,0.355,0.25
0,5,4,4,8.96,False,completed,1.485,"[2.1, 4.3, 6.66, 8.92]","[11.49, 24.39, 25.63, 10.7]",0.022,0.356,2.1161
0,4,4,4,8.94,False,completed,1.515,"[2.1, 4.28, 6.66, 8.9]","[10.87, 25.3, 22.82, 12.59]",0.021,0.153,2.1186
1,3,3,4,8.9,True,out_of_bounds,1.507,"[2.14, 4.32, 6.7]","[10.97, 26.36, 22.74]",0.02,0.303,0.375
0,1,4,4,8.96,False,completed,1.524,"[2.1, 4.28, 6.66, 8.92]","[10.61, 25.79, 26.55, 13.17]",0.023,0.444,2.1161
0,3,3,4,8.86,True,out_of_bounds,1.499,"[2.1, 4.28, 6.66]","[11.23, 27.96, 25.53]",0.024,0.334,0.375
0,2,3,4,8.86,True,out_of_bounds,1.479,"[2.1, 4.28, 6.66]","[11.8, 26.37, 27.02]",0.021,0.268,0.375
1,2,3,4,8.86,True,out_of_bounds,1.475,"[2.12, 4.32, 6.68]","[11.99, 28.89, 27.91]",0.023,0.493,0.375
1,1,4,4,8.94,False,completed,1.53,"[2.08, 4.26, 6.62, 8.9]","[9.9, 26.23, 25.56, 13.6]",0.022,0.289,2.1186
3,1,1,4,2.1,True,out_of_bounds,1.425,[1.16],[18.03],0.023,0.082,0.125
2,4,4,4,8.94,False,completed,1.534,"[2.04, 4.34, 6.6, 8.9]","[8.23, 25.71, 10.29, 17.34]",0.022,0.373,2.1186
1,5,4,4,8.94,False,completed,1.513,"[2.08, 4.28, 6.62, 8.9]","[13.66, 23.99, 23.88, 10.45]",0.021,0.249,2.1186
1,4,4,4,8.92,False,completed,1.534,"[2.08, 4.26, 6.62, 8.88]","[10.96, 24.69, 21.9, 11.93]",0.021,0.166,2.1211
3,2,0,4,30.0,False,timeout,1.404,[],[],0.009,0.023,0.0
3,3,0,4,30.0,False,timeout,1.452,[],[],0.009,0.026,0.0
3,4,0,4,30.0,False,timeout,1.402,[],[],0.009,0.024,0.0
3,5,0,4,30.0,False,timeout,1.42,[],[],0.009,0.024,0.0
