level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.16,True,out_of_bounds,1.619,[],[],0.022,0.812,0.0
2,5,0,4,1.66,True,out_of_bounds,1.567,[],[],0.022,0.828,0.0
0,4,4,4,8.12,False,completed,1.799,"[2.28, 4.0, 6.2, 8.08]","[1.43, 4.16, 19.21, 16.06]",0.026,0.528,2.2315
0,3,4,4,8.12,False,completed,1.81,"[2.28, 4.0, 6.2, 8.08]","[1.58, 6.71, 19.46, 17.43]",0.024,0.326,2.2315
0,2,4,4,8.12,False,completed,1.776,"[2.28, 4.0, 6.2, 8.08]","[1.57, 5.15, 19.91, 17.99]",0.025,0.556,2.2315
0,1,4,4,8.12,False,completed,1.813,"[2.28, 4.0, 6.18, 8.08]","[2.35, 4.11, 17.45, 14.77]",0.025,0.25,2.2315
1,2,4,4,8.14,False,completed,1.777,"[2.3, 4.02, 6.22, 8.1]","[2.32, 5.39, 19.72, 16.78]",0.025,0.386,2.2285
1,4,4,4,8.08,False,completed,1.857,"[2.26, 3.98, 6.16, 8.04]","[0.38, 2.85, 19.68, 16.67]",0.026,0.344,2.2376
2,1,3,4,8.0,True,out_of_bounds,1.835,"[2.12, 4.08, 6.08]","[11.51, 12.84, 11.52]",0.026,0.23,0.375
1,5,4,4,8.1,False,completed,1.814,"[2.28, 4.0, 6.18, 8.06]","[1.26, 2.11, 18.21, 17.02]",0.027,0.484,2.2346
1,3,4,4,8.14,False,completed,1.854,"[2.32, 4.06, 6.24, 8.1]","[2.36, 3.92, 19.25, 19.41]",0.025,0.339,2.2285
1,1,4,4,8.1,False,completed,1.835,"[2.26, 3.98, 6.16, 8.06]","[3.19, 5.42, 18.76, 14.23]",0.026,0.798,2.2346
2,3,3,4,7.98,True,out_of_bounds,1.854,"[2.24, 4.08, 6.2]","[9.24, 15.2, 17.93]",0.026,0.438,0.375
2,2,2,4,6.22,True,out_of_bounds,1.777,"[2.32, 3.9]","[6.0, 6.5]",0.027,0.969,0.25
0,5,4,4,8.12,False,completed,1.777,"[2.28, 4.02, 6.18, 8.08]","[1.37, 3.84, 17.46, 15.43]",0.026,0.28,2.2315
3,1,1,4,4.72,True,out_of_bounds,1.883,[1.14],[15.48],0.027,0.217,0.125
3,3,0,4,30.0,False,timeout,1.876,[],[],0.011,0.027,0.0
3,2,0,4,30.0,False,timeout,1.898,[],[],0.01,0.029,0.0
3,4,0,4,30.0,False,timeout,1.847,[],[],0.011,0.028,0.0
3,5,0,4,30.0,False,timeout,1.881,[],[],0.011,0.03,0.0
