level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,1,2,4,5.04,True,out_of_bounds,1.523,"[2.0, 3.9]","[29.67, 11.56]",0.017,0.333,0.25
2,4,2,4,5.92,True,out_of_bounds,1.52,"[2.08, 3.86]","[6.65, 5.75]",0.017,0.4,0.25
2,2,2,4,6.02,True,out_of_bounds,1.525,"[2.2, 3.74]","[11.26, 8.62]",0.022,0.223,0.25
0,4,4,4,8.12,False,completed,1.503,"[2.16, 3.84, 6.02, 8.08]","[14.0, 5.95, 16.9, 4.76]",0.021,0.518,2.2315
1,2,4,4,8.14,False,completed,1.525,"[2.16, 3.86, 6.04, 8.1]","[15.23, 8.68, 16.32, 3.62]",0.02,0.47,2.2285
0,2,4,4,8.12,False,completed,1.511,"[2.16, 3.84, 6.02, 8.08]","[14.21, 7.02, 16.16, 3.83]",0.016,0.51,2.2315
0,3,4,4,8.12,False,completed,1.487,"[2.16, 3.84, 6.02, 8.08]","[13.56, 6.02, 15.81, 3.38]",0.016,0.562,2.2315
0,1,4,4,8.12,False,completed,1.53,"[2.16, 3.84, 6.0, 8.08]","[13.87, 8.18, 14.77, 6.3]",0.022,0.499,2.2315
0,5,4,4,8.12,False,completed,1.496,"[2.16, 3.86, 6.0, 8.08]","[11.96, 4.23, 14.06, 5.29]",0.017,0.166,2.2315
2,5,3,4,8.0,True,out_of_bounds,1.517,"[2.22, 3.94, 5.98]","[7.36, 12.21, 12.18]",0.015,0.51,0.375
1,3,4,4,8.18,False,completed,1.518,"[2.2, 3.9, 6.06, 8.14]","[14.04, 4.62, 14.15, 5.92]",0.02,0.387,2.2225
1,4,4,4,8.1,False,completed,1.52,"[2.12, 3.82, 5.98, 8.06]","[14.37, 3.67, 14.97, 6.55]",0.023,0.486,2.2346
1,5,4,4,8.1,False,completed,1.517,"[2.14, 3.82, 5.98, 8.06]","[13.34, 3.13, 14.43, 6.17]",0.023,0.468,2.2346
1,1,4,4,8.1,False,completed,1.523,"[2.12, 3.8, 5.98, 8.06]","[14.6, 7.8, 16.26, 5.34]",0.018,0.639,2.2346
3,1,1,4,4.62,True,out_of_bounds,1.322,[1.96],[4.33],0.024,0.237,0.125
2,3,4,4,8.06,False,completed,1.518,"[2.14, 3.92, 6.04, 8.02]","[26.39, 15.75, 13.96, 21.24]",0.031,0.136,2.2407
3,2,0,4,30.0,False,timeout,1.317,[],[],0.014,0.294,0.0
3,4,0,4,30.0,False,timeout,1.345,[],[],0.012,0.201,0.0
3,3,0,4,30.0,False,timeout,1.395,[],[],0.012,0.193,0.0
3,5,0,4,30.0,False,timeout,1.363,[],[],0.011,0.158,0.0
