level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,1,0,4,10.66,True,out_of_bounds,0.927,[],[],0.022,0.516,0.0
0,3,1,4,30.0,False,timeout,0.978,[10.46],[26.9],0.021,0.563,0.25
0,5,1,4,30.0,False,timeout,0.966,[10.78],[29.53],0.021,0.391,0.25
1,1,1,4,30.0,False,timeout,0.927,[10.92],[26.97],0.02,0.364,0.25
0,2,1,4,30.0,False,timeout,0.921,[10.86],[29.52],0.021,0.502,0.25
0,1,1,4,30.0,False,timeout,0.918,[10.96],[28.79],0.022,0.517,0.25
0,4,1,4,30.0,False,timeout,0.999,[11.2],[25.38],0.021,0.434,0.25
2,3,1,4,30.0,False,timeout,0.943,[11.48],[37.09],0.022,0.528,0.25
2,2,1,4,30.0,False,timeout,0.938,[10.94],[26.06],0.02,0.433,0.25
1,3,1,4,30.0,False,timeout,0.943,[11.62],[29.13],0.02,0.398,0.25
2,4,1,4,30.0,False,timeout,0.953,[11.0],[16.36],0.023,0.472,0.25
1,5,1,4,30.0,False,timeout,0.917,[10.9],[27.51],0.022,0.443,0.25
1,4,1,4,30.0,False,timeout,0.953,[11.06],[26.34],0.022,0.435,0.25
2,5,1,4,30.0,False,timeout,0.917,[11.42],[49.7],0.022,0.417,0.25
1,2,1,4,30.0,False,timeout,0.938,[10.86],[30.9],0.027,0.494,0.25
3,1,1,4,30.0,False,timeout,1.09,[5.66],[32.24],0.022,0.368,0.25
3,2,0,4,30.0,False,timeout,1.156,[],[],0.012,0.032,0.0
3,3,0,4,30.0,False,timeout,1.086,[],[],0.012,0.027,0.0
3,4,0,4,30.0,False,timeout,1.075,[],[],0.013,0.026,0.0
3,5,0,4,30.0,False,timeout,1.058,[],[],0.012,0.027,0.0
