level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,0,4,2.1,True,out_of_bounds,1.506,[],[],0.025,0.452,0.0
0,3,2,4,5.76,True,out_of_bounds,1.597,"[2.12, 3.82]","[10.47, 15.58]",0.025,0.341,0.25
3,1,0,4,1.18,True,out_of_bounds,1.571,[],[],0.026,0.074,0.0
0,1,2,4,5.76,True,out_of_bounds,1.611,"[2.1, 3.8]","[11.09, 11.03]",0.026,0.383,0.25
2,1,2,4,4.66,True,out_of_bounds,1.588,"[1.96, 3.88]","[26.84, 13.72]",0.024,0.541,0.25
0,2,2,4,5.76,True,out_of_bounds,1.634,"[2.1, 3.8]","[11.7, 13.0]",0.026,0.539,0.25
0,4,2,4,5.76,True,out_of_bounds,1.632,"[2.12, 3.8]","[11.23, 13.93]",0.026,0.987,0.25
2,5,1,4,3.98,True,out_of_bounds,1.486,[2.18],[15.85],0.021,0.176,0.125
0,5,2,4,5.76,True,out_of_bounds,1.637,"[2.12, 3.82]","[10.98, 18.35]",0.026,0.24,0.25
2,3,2,4,4.88,True,out_of_bounds,1.652,"[2.08, 3.86]","[22.0, 8.74]",0.025,0.29,0.25
1,1,2,4,5.74,True,out_of_bounds,1.606,"[2.08, 3.78]","[10.71, 12.24]",0.024,0.3,0.25
1,2,2,4,5.76,True,out_of_bounds,1.594,"[2.12, 3.8]","[11.35, 11.2]",0.026,0.55,0.25
1,4,2,4,5.78,True,out_of_bounds,1.665,"[2.08, 3.78]","[12.2, 15.77]",0.025,0.18,0.25
2,4,2,4,5.7,True,out_of_bounds,1.665,"[2.04, 3.84]","[10.68, 17.58]",0.024,0.757,0.25
1,5,2,4,5.76,True,out_of_bounds,1.645,"[2.1, 3.78]","[11.82, 19.4]",0.025,0.854,0.25
1,3,2,4,5.84,True,out_of_bounds,1.652,"[2.14, 3.86]","[11.71, 16.88]",0.028,0.552,0.25
3,2,0,4,30.0,False,timeout,1.466,[],[],0.011,0.029,0.0
3,3,0,4,30.0,False,timeout,1.518,[],[],0.011,0.029,0.0
3,5,0,4,30.0,False,timeout,1.492,[],[],0.011,0.028,0.0
3,4,0,4,30.0,False,timeout,1.458,[],[],0.011,0.028,0.0
