level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,1.82,True,out_of_bounds,1.743,[],[],0.045,0.134,0.0
0,2,3,4,6.68,True,out_of_bounds,1.859,"[1.88, 3.28, 6.06]","[6.43, 3.15, 21.6]",0.046,0.852,0.375
1,2,3,4,6.62,True,out_of_bounds,1.755,"[1.88, 3.24, 6.0]","[5.91, 3.12, 22.71]",0.045,0.541,0.375
2,5,3,4,6.66,True,out_of_bounds,1.796,"[2.0, 3.44, 6.1]","[11.7, 2.76, 17.24]",0.046,0.666,0.375
0,1,3,4,6.68,True,out_of_bounds,1.832,"[1.9, 3.26, 6.08]","[8.15, 3.05, 21.19]",0.051,1.083,0.375
1,1,3,4,6.64,True,out_of_bounds,1.759,"[1.88, 3.26, 6.02]","[7.39, 4.15, 22.02]",0.05,0.56,0.375
0,5,3,4,6.7,True,out_of_bounds,1.836,"[1.88, 3.28, 6.08]","[7.04, 3.74, 20.51]",0.049,0.767,0.375
2,2,2,4,6.0,True,out_of_bounds,1.755,"[1.9, 3.14]","[7.63, 6.83]",0.048,0.791,0.25
0,3,3,4,6.68,True,out_of_bounds,1.8,"[1.9, 3.28, 6.08]","[6.33, 4.69, 21.25]",0.049,0.62,0.375
0,4,4,4,8.4,False,completed,1.767,"[1.9, 3.26, 6.06, 8.36]","[5.06, 3.27, 23.41, 6.45]",0.05,0.724,2.1905
3,1,1,4,1.16,True,out_of_bounds,1.469,[0.84],[32.14],0.051,0.188,0.125
2,3,4,4,8.4,False,completed,1.743,"[1.92, 3.38, 6.12, 8.36]","[15.58, 13.17, 17.18, 24.05]",0.045,0.635,2.1905
1,5,4,4,8.42,False,completed,1.796,"[1.9, 3.32, 6.1, 8.38]","[6.96, 3.16, 20.27, 8.46]",0.048,0.817,2.1876
1,4,4,4,8.4,False,completed,1.743,"[1.9, 3.28, 6.06, 8.36]","[5.38, 3.67, 22.72, 8.61]",0.05,0.604,2.1905
1,3,4,4,8.52,False,completed,1.743,"[1.98, 3.36, 6.16, 8.48]","[5.44, 3.49, 20.84, 6.93]",0.051,1.023,2.1737
2,1,3,4,8.26,True,out_of_bounds,1.759,"[1.76, 3.36, 5.94]","[17.54, 12.46, 12.22]",0.047,0.384,0.375
3,2,0,4,30.0,False,timeout,1.755,[],[],0.027,0.063,0.0
3,3,0,4,30.0,False,timeout,1.648,[],[],0.027,0.058,0.0
3,4,0,4,30.0,False,timeout,1.612,[],[],0.027,0.057,0.0
3,5,0,4,30.0,False,timeout,1.668,[],[],0.028,0.062,0.0
