level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.32,True,out_of_bounds,1.301,[],[],0.069,0.633,0.0
1,1,2,4,7.66,True,out_of_bounds,1.345,"[2.36, 4.28]","[8.65, 8.13]",0.081,1.123,0.25
0,5,2,4,7.68,True,out_of_bounds,1.349,"[2.4, 4.34]","[9.1, 10.35]",0.081,0.987,0.25
1,2,2,4,7.72,True,out_of_bounds,1.4,"[2.4, 4.32]","[10.58, 7.3]",0.081,1.892,0.25
0,2,2,4,7.68,True,out_of_bounds,1.359,"[2.38, 4.3]","[9.13, 7.51]",0.083,1.019,0.25
0,1,2,4,7.68,True,out_of_bounds,1.326,"[2.4, 4.32]","[8.56, 8.77]",0.078,1.561,0.25
0,4,2,4,7.68,True,out_of_bounds,1.376,"[2.42, 4.32]","[8.83, 11.67]",0.083,1.028,0.25
0,3,2,4,7.68,True,out_of_bounds,1.361,"[2.4, 4.3]","[8.67, 8.38]",0.09,1.125,0.25
2,3,2,4,7.7,True,out_of_bounds,1.307,"[2.4, 4.42]","[19.56, 19.89]",0.075,0.677,0.25
1,5,2,4,7.66,True,out_of_bounds,1.349,"[2.38, 4.32]","[9.16, 8.5]",0.085,1.221,0.25
3,1,1,4,3.1,True,out_of_bounds,1.449,[1.06],[29.91],0.071,0.61,0.125
2,1,2,4,7.56,True,out_of_bounds,1.345,"[2.24, 4.42]","[22.09, 12.26]",0.081,1.412,0.25
1,4,2,4,7.64,True,out_of_bounds,1.356,"[2.38, 4.32]","[9.16, 10.78]",0.08,0.708,0.25
1,3,2,4,7.74,True,out_of_bounds,1.307,"[2.48, 4.4]","[9.19, 8.58]",0.086,1.603,0.25
2,5,3,4,8.28,True,out_of_bounds,1.349,"[2.48, 4.5, 7.72]","[6.87, 5.18, 11.71]",0.077,0.702,0.375
2,2,2,4,7.76,True,out_of_bounds,1.4,"[2.44, 4.14]","[8.39, 6.85]",0.081,0.363,0.25
3,2,0,4,30.0,False,timeout,1.313,[],[],0.046,0.093,0.0
3,5,0,4,30.0,False,timeout,1.228,[],[],0.046,0.09,0.0
3,4,0,4,30.0,False,timeout,1.274,[],[],0.046,0.09,0.0
3,3,0,4,30.0,False,timeout,1.215,[],[],0.046,0.089,0.0
