level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,1.68,True,out_of_bounds,1.547,[],[],0.039,0.158,0.0
2,4,0,4,2.14,True,out_of_bounds,1.563,[],[],0.034,0.081,0.0
2,2,2,4,6.22,True,out_of_bounds,1.678,"[2.34, 3.9]","[9.04, 9.62]",0.035,0.798,0.25
3,1,1,4,2.32,True,out_of_bounds,3.126,[1.16],[12.31],0.04,0.497,0.125
1,2,4,4,8.1,False,completed,1.738,"[2.3, 4.02, 6.22, 8.06]","[5.51, 8.39, 21.75, 16.1]",0.035,0.765,2.2346
0,1,4,4,8.08,False,completed,1.759,"[2.3, 4.0, 6.2, 8.04]","[6.43, 6.93, 20.23, 12.45]",0.033,0.629,2.2376
0,4,4,4,8.08,False,completed,1.743,"[2.3, 4.0, 6.2, 8.04]","[6.94, 6.49, 21.59, 14.03]",0.036,0.76,2.2376
1,1,4,4,8.04,False,completed,1.779,"[2.26, 3.98, 6.16, 8.0]","[4.49, 8.59, 21.0, 13.9]",0.029,0.605,2.2438
0,5,4,4,8.08,False,completed,1.762,"[2.3, 4.02, 6.2, 8.04]","[6.95, 6.59, 20.39, 13.36]",0.036,0.714,2.2376
1,5,4,4,8.06,False,completed,1.868,"[2.28, 4.02, 6.18, 8.02]","[7.1, 6.0, 20.91, 13.53]",0.037,0.635,2.2407
0,3,4,4,8.06,False,completed,1.793,"[2.3, 4.0, 6.2, 8.02]","[6.06, 9.91, 21.91, 17.9]",0.037,0.642,2.2407
1,3,4,4,8.1,False,completed,1.924,"[2.32, 4.06, 6.24, 8.06]","[6.43, 6.38, 22.08, 17.29]",0.035,0.722,2.2346
0,2,4,4,8.06,False,completed,1.773,"[2.28, 4.0, 6.2, 8.02]","[6.17, 8.42, 22.21, 17.72]",0.031,0.588,2.2407
1,4,4,4,8.04,False,completed,1.85,"[2.26, 3.98, 6.16, 8.0]","[7.74, 4.82, 22.28, 13.76]",0.034,0.532,2.2438
2,3,3,4,7.9,True,out_of_bounds,1.924,"[2.24, 4.08, 6.2]","[6.18, 17.84, 21.21]",0.038,0.666,0.375
2,1,3,4,7.94,True,out_of_bounds,1.779,"[2.12, 4.1, 6.1]","[7.89, 13.34, 15.35]",0.037,0.523,0.375
3,3,0,4,3.88,True,out_of_bounds,4.596,[],[],0.019,0.042,0.0
3,2,0,4,5.56,True,out_of_bounds,2.858,[],[],0.019,0.046,0.0
3,5,0,4,4.72,True,out_of_bounds,1.784,[],[],0.02,0.041,0.0
3,4,0,4,4.12,True,out_of_bounds,2.573,[],[],0.02,0.043,0.0
