level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,2,3,4,8.12,True,out_of_bounds,1.283,"[2.86, 5.04, 7.74]","[13.23, 6.74, 5.0]",0.022,0.394,0.375
2,1,2,4,6.6,True,out_of_bounds,1.255,"[2.66, 5.1]","[27.06, 11.39]",0.019,0.905,0.25
0,5,3,4,8.12,True,out_of_bounds,1.302,"[2.84, 5.02, 7.74]","[14.71, 6.02, 6.22]",0.023,0.752,0.375
2,5,2,4,7.68,True,out_of_bounds,1.288,"[2.92, 5.12]","[7.01, 3.6]",0.019,0.589,0.25
2,4,2,4,7.62,True,out_of_bounds,1.284,"[2.76, 5.04]","[4.5, 7.2]",0.02,0.479,0.25
1,4,3,4,8.06,True,out_of_bounds,1.284,"[2.8, 4.98, 7.68]","[13.47, 4.28, 4.44]",0.021,0.3,0.375
1,3,3,4,8.18,True,out_of_bounds,1.28,"[2.9, 5.1, 7.82]","[14.14, 4.08, 3.52]",0.021,0.342,0.375
1,5,3,4,8.1,True,out_of_bounds,1.288,"[2.82, 5.0, 7.72]","[14.87, 6.0, 5.6]",0.017,0.491,0.375
1,1,3,4,8.08,True,out_of_bounds,1.255,"[2.8, 4.98, 7.68]","[13.68, 4.71, 5.45]",0.023,0.595,0.375
0,3,3,4,8.12,True,out_of_bounds,1.275,"[2.84, 5.02, 7.74]","[15.26, 4.48, 3.75]",0.023,0.337,0.375
0,4,3,4,8.14,True,out_of_bounds,1.282,"[2.86, 5.04, 7.72]","[13.78, 6.21, 5.55]",0.023,0.267,0.375
1,2,3,4,8.14,True,out_of_bounds,1.298,"[2.88, 5.06, 7.78]","[13.27, 5.67, 5.3]",0.023,0.628,0.375
2,3,3,4,8.18,True,out_of_bounds,1.28,"[2.82, 5.12, 7.78]","[26.8, 16.32, 3.92]",0.022,0.373,0.375
2,2,3,4,9.52,True,out_of_bounds,1.298,"[2.92, 4.96, 7.8]","[10.13, 7.07, 3.25]",0.022,0.595,0.375
0,1,3,4,8.12,True,out_of_bounds,1.246,"[2.84, 5.04, 7.74]","[14.35, 5.84, 4.54]",0.023,0.487,0.375
3,1,1,4,5.94,True,out_of_bounds,1.161,[2.42],[2.4],0.028,0.148,0.125
3,5,0,4,3.08,True,out_of_bounds,1.126,[],[],0.012,0.031,0.0
3,2,0,4,30.0,False,timeout,1.164,[],[],0.009,0.024,0.0
3,3,0,4,30.0,False,timeout,1.152,[],[],0.009,0.023,0.0
3,4,0,4,30.0,False,timeout,1.178,[],[],0.009,0.023,0.0
