level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.5,True,out_of_bounds,1.656,[],[],0.055,0.802,0.0
0,5,2,4,6.56,True,out_of_bounds,1.651,"[2.68, 4.98]","[7.8, 5.76]",0.054,0.658,0.25
0,4,2,4,6.56,True,out_of_bounds,1.64,"[2.68, 4.98]","[3.89, 5.87]",0.051,0.69,0.25
0,1,2,4,6.54,True,out_of_bounds,1.685,"[2.68, 5.0]","[5.65, 5.7]",0.049,1.013,0.25
1,3,2,4,6.62,True,out_of_bounds,1.719,"[2.72, 5.04]","[5.59, 3.55]",0.051,0.407,0.25
2,2,2,4,6.58,True,out_of_bounds,1.673,"[2.76, 4.92]","[7.04, 5.77]",0.049,0.346,0.25
1,4,2,4,6.52,True,out_of_bounds,1.664,"[2.64, 4.94]","[2.15, 2.39]",0.053,0.702,0.25
2,3,2,4,6.52,True,out_of_bounds,1.659,"[2.62, 5.06]","[13.58, 15.0]",0.049,0.772,0.25
2,5,2,4,6.54,True,out_of_bounds,1.688,"[2.8, 5.08]","[7.42, 2.05]",0.053,0.614,0.25
0,3,2,4,6.56,True,out_of_bounds,1.711,"[2.66, 4.98]","[4.64, 5.1]",0.053,0.979,0.25
0,2,2,4,6.56,True,out_of_bounds,1.683,"[2.68, 5.0]","[5.37, 7.1]",0.057,0.879,0.25
1,1,2,4,6.5,True,out_of_bounds,1.702,"[2.64, 4.94]","[4.0, 6.06]",0.05,0.719,0.25
1,5,2,4,6.52,True,out_of_bounds,1.67,"[2.64, 4.96]","[6.76, 4.35]",0.053,1.28,0.25
1,2,2,4,6.58,True,out_of_bounds,1.673,"[2.7, 5.02]","[6.28, 7.37]",0.054,0.913,0.25
2,1,4,4,10.6,False,completed,1.71,"[2.46, 5.06, 7.76, 10.56]","[10.41, 14.22, 7.14, 19.8]",0.054,0.742,1.9434
3,1,1,4,4.66,True,out_of_bounds,1.133,[1.22],[23.65],0.112,0.48,0.125
3,2,0,4,30.0,False,timeout,1.093,[],[],0.026,0.057,0.0
3,5,0,4,30.0,False,timeout,1.075,[],[],0.026,0.06,0.0
3,3,0,4,30.0,False,timeout,1.165,[],[],0.027,0.059,0.0
3,4,0,4,30.0,False,timeout,1.106,[],[],0.026,0.057,0.0
