level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,1,4,2.8,True,out_of_bounds,1.569,[2.7],[6.35],0.068,1.105,0.125
0,2,4,4,10.62,False,completed,1.697,"[2.62, 4.94, 7.84, 10.58]","[4.98, 5.94, 16.8, 4.75]",0.08,1.252,1.9416
2,4,0,4,2.44,True,out_of_bounds,1.609,[],[],0.064,0.183,0.0
2,5,2,4,6.54,True,out_of_bounds,1.7,"[2.74, 5.02]","[7.48, 1.56]",0.065,0.77,0.25
0,1,4,4,10.6,False,completed,1.707,"[2.64, 4.94, 7.82, 10.56]","[3.8, 6.41, 19.68, 6.51]",0.066,1.364,1.9434
0,3,4,4,10.6,False,completed,1.73,"[2.62, 4.94, 7.84, 10.56]","[3.16, 4.76, 20.38, 6.66]",0.067,1.285,1.9434
1,1,4,4,10.58,False,completed,1.725,"[2.6, 4.9, 7.78, 10.54]","[3.87, 5.6, 18.49, 5.18]",0.066,1.491,1.9452
0,5,4,4,10.62,False,completed,1.67,"[2.62, 4.94, 7.84, 10.58]","[6.39, 5.17, 18.52, 6.57]",0.065,1.383,1.9416
0,4,4,4,10.62,False,completed,1.684,"[2.64, 4.94, 7.82, 10.58]","[3.68, 3.94, 15.73, 5.76]",0.066,1.599,1.9416
1,3,3,4,10.56,True,out_of_bounds,1.736,"[2.68, 5.0, 7.9]","[5.04, 4.02, 19.21]",0.067,0.723,0.375
1,5,4,4,10.58,False,completed,1.703,"[2.6, 4.9, 7.8, 10.54]","[6.25, 3.27, 18.29, 8.52]",0.066,1.531,1.9452
2,1,4,4,10.52,False,completed,1.725,"[2.42, 5.0, 7.7, 10.48]","[10.72, 12.85, 5.83, 19.96]",0.066,1.422,1.9506
1,2,4,4,10.64,False,completed,1.692,"[2.64, 4.96, 7.86, 10.6]","[6.57, 6.72, 15.84, 5.4]",0.067,0.939,1.9398
2,3,4,4,10.52,False,completed,1.736,"[2.58, 5.02, 7.86, 10.48]","[11.54, 14.63, 17.02, 28.3]",0.067,1.17,1.9506
1,4,4,4,10.58,False,completed,1.696,"[2.6, 4.9, 7.78, 10.54]","[3.33, 1.73, 16.73, 7.55]",0.068,1.229,1.9452
3,1,1,4,30.0,False,timeout,1.419,[1.24],[23.4],0.064,0.549,0.25
3,2,0,4,30.0,False,timeout,1.45,[],[],0.034,0.077,0.0
3,4,0,4,30.0,False,timeout,1.408,[],[],0.034,0.07,0.0
3,3,0,4,30.0,False,timeout,1.406,[],[],0.033,0.073,0.0
3,5,0,4,30.0,False,timeout,1.391,[],[],0.032,0.072,0.0
