level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,0,4,2.52,True,out_of_bounds,1.45,[],[],0.021,0.393,0.0
0,5,3,4,7.52,True,out_of_bounds,1.386,"[2.5, 4.3, 6.62]","[17.48, 7.98, 21.99]",0.022,0.409,0.375
2,4,2,4,6.52,True,out_of_bounds,1.397,"[2.44, 4.32]","[8.88, 7.69]",0.022,0.631,0.25
2,1,2,4,5.52,True,out_of_bounds,1.363,"[2.32, 4.38]","[32.46, 7.38]",0.023,0.372,0.25
0,2,3,4,7.52,True,out_of_bounds,1.439,"[2.5, 4.3, 6.62]","[15.88, 6.18, 19.54]",0.022,0.485,0.375
0,4,3,4,7.54,True,out_of_bounds,1.432,"[2.52, 4.3, 6.62]","[14.88, 9.53, 21.17]",0.022,0.278,0.375
0,1,3,4,7.52,True,out_of_bounds,1.402,"[2.52, 4.3, 6.6]","[14.18, 7.22, 20.19]",0.021,0.486,0.375
1,1,3,4,7.48,True,out_of_bounds,1.409,"[2.48, 4.26, 6.56]","[12.87, 6.63, 20.02]",0.023,0.498,0.375
1,4,3,4,7.5,True,out_of_bounds,1.397,"[2.48, 4.26, 6.58]","[15.98, 8.47, 21.47]",0.02,0.629,0.375
1,2,3,4,7.52,True,out_of_bounds,1.45,"[2.52, 4.32, 6.64]","[17.09, 5.76, 19.68]",0.021,0.278,0.375
0,3,3,4,7.52,True,out_of_bounds,1.398,"[2.5, 4.3, 6.62]","[15.58, 6.31, 19.34]",0.021,0.153,0.375
1,3,3,4,7.58,True,out_of_bounds,1.394,"[2.56, 4.36, 6.66]","[16.1, 5.72, 19.15]",0.022,0.644,0.375
2,3,3,4,7.66,True,out_of_bounds,1.394,"[2.48, 4.38, 6.62]","[29.92, 18.06, 17.0]",0.022,0.525,0.375
1,5,3,4,7.48,True,out_of_bounds,1.386,"[2.48, 4.26, 6.56]","[16.55, 6.9, 19.49]",0.022,0.567,0.375
2,5,3,4,7.46,True,out_of_bounds,1.386,"[2.58, 4.42, 6.58]","[12.19, 18.28, 18.01]",0.034,0.265,0.375
3,1,1,4,4.58,True,out_of_bounds,1.19,[1.96],[5.82],0.053,0.209,0.125
3,2,0,4,30.0,False,timeout,1.165,[],[],0.024,0.325,0.0
3,4,0,4,30.0,False,timeout,1.162,[],[],0.024,0.329,0.0
3,3,0,4,30.0,False,timeout,1.229,[],[],0.024,0.313,0.0
3,5,0,4,30.0,False,timeout,1.213,[],[],0.027,0.319,0.0
