level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
1,2,1,4,2.6,True,out_of_bounds,2.738,[2.1],[30.01],0.038,0.84,0.125
0,5,1,4,2.7,True,out_of_bounds,2.503,[2.18],[13.88],0.039,0.193,0.125
0,1,1,4,2.72,True,out_of_bounds,2.418,[2.2],[19.63],0.039,0.246,0.125
0,2,1,4,2.7,True,out_of_bounds,2.452,[2.16],[23.0],0.039,0.54,0.125
2,4,0,4,2.0,True,out_of_bounds,2.382,[],[],0.032,0.187,0.0
1,5,1,4,2.76,True,out_of_bounds,2.406,[2.24],[10.85],0.035,0.684,0.125
0,3,1,4,2.72,True,out_of_bounds,2.428,[2.2],[18.67],0.034,0.457,0.125
0,4,1,4,2.72,True,out_of_bounds,2.484,[2.2],[19.93],0.04,0.673,0.125
2,5,0,4,1.46,True,out_of_bounds,2.406,[],[],0.041,0.287,0.0
2,3,1,4,2.14,True,out_of_bounds,2.555,[2.08],[13.77],0.028,0.315,0.125
1,1,1,4,2.72,True,out_of_bounds,2.376,[2.18],[22.2],0.037,0.387,0.125
1,4,1,4,2.74,True,out_of_bounds,2.382,[2.22],[11.9],0.039,0.156,0.125
2,2,0,4,2.02,True,out_of_bounds,2.738,[],[],0.037,0.16,0.0
1,3,1,4,2.72,True,out_of_bounds,2.555,[2.22],[11.2],0.045,0.458,0.125
2,1,1,4,2.32,True,out_of_bounds,2.376,[1.96],[10.6],0.052,0.257,0.125
3,1,0,4,30.0,False,timeout,1.321,[],[],0.021,0.138,0.0
3,5,0,4,30.0,False,timeout,1.372,[],[],0.02,0.039,0.0
3,3,0,4,30.0,False,timeout,1.348,[],[],0.02,0.039,0.0
3,4,0,4,30.0,False,timeout,1.353,[],[],0.02,0.039,0.0
3,2,0,4,30.0,False,timeout,1.444,[],[],0.02,0.039,0.0
