level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,3,0,4,1.72,True,out_of_bounds,1.854,[],[],0.051,0.111,0.0
0,2,0,4,1.74,True,out_of_bounds,1.862,[],[],0.028,0.412,0.0
0,4,0,4,1.72,True,out_of_bounds,1.894,[],[],0.027,0.123,0.0
1,2,0,4,1.74,True,out_of_bounds,1.853,[],[],0.031,0.731,0.0
1,3,1,4,1.8,True,out_of_bounds,1.85,[1.76],[19.12],0.03,0.282,0.125
0,5,0,4,1.72,True,out_of_bounds,1.827,[],[],0.031,0.455,0.0
1,1,0,4,1.7,True,out_of_bounds,1.794,[],[],0.03,0.209,0.0
2,4,1,4,1.72,True,out_of_bounds,1.886,[1.66],[16.9],0.03,0.119,0.125
2,2,0,4,1.72,True,out_of_bounds,1.853,[],[],0.03,0.079,0.0
1,5,1,4,1.74,True,out_of_bounds,1.83,[1.7],[18.99],0.027,0.141,0.125
0,1,0,4,1.72,True,out_of_bounds,1.817,[],[],0.031,0.077,0.0
2,3,0,4,1.72,True,out_of_bounds,1.85,[],[],0.037,1.338,0.0
1,4,1,4,1.74,True,out_of_bounds,1.886,[1.7],[18.5],0.049,1.309,0.125
2,5,0,4,1.78,True,out_of_bounds,1.83,[],[],0.058,0.885,0.0
2,1,1,4,2.98,True,out_of_bounds,1.794,[1.58],[25.09],0.045,0.581,0.125
3,1,0,4,0.9,True,out_of_bounds,1.738,[],[],0.07,0.139,0.0
3,5,0,4,30.0,False,timeout,2.066,[],[],0.011,0.028,0.0
3,2,0,4,30.0,False,timeout,2.058,[],[],0.011,0.029,0.0
3,3,0,4,30.0,False,timeout,2.176,[],[],0.011,0.027,0.0
3,4,0,4,30.0,False,timeout,2.043,[],[],0.011,0.028,0.0
