level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.44,True,out_of_bounds,1.609,[],[],0.05,0.469,0.0
2,1,2,4,7.06,True,out_of_bounds,1.612,"[2.4, 5.34]","[11.16, 12.35]",0.042,0.317,0.25
2,3,3,4,9.46,True,out_of_bounds,1.602,"[2.58, 5.36, 8.28]","[11.62, 13.69, 16.56]",0.046,0.789,0.375
0,4,4,4,11.06,False,completed,1.593,"[2.64, 5.28, 8.26, 11.02]","[3.87, 3.24, 20.82, 4.63]",0.048,0.857,1.9042
1,4,4,4,11.02,False,completed,1.609,"[2.6, 5.24, 8.22, 10.98]","[3.5, 2.55, 20.92, 6.85]",0.047,0.621,1.9074
0,5,4,4,11.06,False,completed,1.543,"[2.62, 5.28, 8.26, 11.02]","[6.68, 3.1, 19.22, 3.52]",0.045,0.567,1.9042
1,1,4,4,11.02,False,completed,1.612,"[2.6, 5.24, 8.22, 10.98]","[4.07, 3.68, 21.06, 3.26]",0.047,1.169,1.9074
2,2,2,4,8.26,True,out_of_bounds,1.569,"[2.7, 5.2]","[6.53, 4.61]",0.047,0.671,0.25
1,5,4,4,11.02,False,completed,1.562,"[2.6, 5.24, 8.24, 10.98]","[6.54, 3.73, 19.29, 6.46]",0.048,0.847,1.9074
0,2,4,4,11.06,False,completed,1.583,"[2.62, 5.26, 8.26, 11.02]","[5.22, 4.17, 20.15, 5.96]",0.05,0.924,1.9042
2,5,3,4,8.98,True,out_of_bounds,1.562,"[2.74, 5.36, 8.26]","[7.93, 6.51, 17.62]",0.048,0.483,0.375
0,3,4,4,11.06,False,completed,1.597,"[2.62, 5.28, 8.26, 11.02]","[3.31, 3.34, 18.3, 5.87]",0.048,0.833,1.9042
1,2,4,4,11.08,False,completed,1.569,"[2.66, 5.3, 8.28, 11.04]","[6.93, 3.14, 19.46, 3.06]",0.046,0.819,1.9025
0,1,4,4,11.06,False,completed,1.626,"[2.64, 5.28, 8.26, 11.02]","[4.0, 3.83, 19.89, 4.15]",0.051,0.696,1.9042
1,3,4,4,11.12,False,completed,1.602,"[2.68, 5.34, 8.32, 11.08]","[5.26, 2.9, 18.75, 10.76]",0.048,0.923,1.8993
3,1,1,4,7.74,True,out_of_bounds,1.212,[1.22],[24.04],0.054,0.435,0.125
3,2,0,4,30.0,False,timeout,0.845,[],[],0.026,0.057,0.0
3,3,0,4,30.0,False,timeout,0.872,[],[],0.026,0.055,0.0
3,4,0,4,30.0,False,timeout,0.814,[],[],0.026,0.056,0.0
3,5,0,4,30.0,False,timeout,0.905,[],[],0.026,0.056,0.0
