level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.32,True,out_of_bounds,1.313,[],[],0.026,0.163,0.0
0,4,3,4,7.66,True,out_of_bounds,1.672,"[2.44, 4.56, 6.74]","[1.83, 7.35, 17.61]",0.027,0.147,0.375
0,2,3,4,7.66,True,out_of_bounds,1.626,"[2.42, 4.56, 6.76]","[1.47, 6.1, 17.21]",0.027,0.545,0.375
0,5,3,4,7.66,True,out_of_bounds,1.642,"[2.42, 4.56, 6.76]","[1.53, 3.93, 20.17]",0.028,0.397,0.375
1,3,3,4,7.66,True,out_of_bounds,1.662,"[2.42, 4.58, 6.76]","[2.36, 6.75, 19.05]",0.026,0.161,0.375
2,1,2,4,5.76,True,out_of_bounds,1.646,"[2.3, 4.68]","[7.71, 8.72]",0.024,0.338,0.25
0,1,3,4,7.66,True,out_of_bounds,1.639,"[2.44, 4.56, 6.76]","[3.05, 7.28, 19.03]",0.027,0.189,0.375
0,3,3,4,7.66,True,out_of_bounds,1.628,"[2.42, 4.56, 6.74]","[2.21, 7.88, 17.33]",0.027,0.83,0.375
1,1,3,4,7.66,True,out_of_bounds,1.646,"[2.44, 4.56, 6.74]","[3.66, 6.75, 17.75]",0.027,0.18,0.375
2,2,2,4,6.74,True,out_of_bounds,1.623,"[2.46, 4.44]","[7.23, 5.73]",0.025,0.218,0.25
1,4,3,4,7.68,True,out_of_bounds,1.668,"[2.44, 4.58, 6.74]","[1.76, 4.89, 17.43]",0.025,0.289,0.375
1,2,3,4,7.64,True,out_of_bounds,1.623,"[2.42, 4.56, 6.74]","[0.47, 6.27, 15.84]",0.027,0.672,0.375
2,5,3,4,7.66,True,out_of_bounds,1.658,"[2.54, 4.7, 6.76]","[5.29, 9.55, 17.62]",0.026,0.69,0.375
1,5,3,4,7.66,True,out_of_bounds,1.658,"[2.44, 4.56, 6.74]","[2.35, 3.9, 18.99]",0.027,0.327,0.375
2,3,3,4,8.6,True,out_of_bounds,1.662,"[2.36, 4.6, 6.72]","[7.22, 17.57, 16.26]",0.027,0.509,0.375
3,1,1,4,5.72,True,out_of_bounds,1.168,[1.36],[16.79],0.026,0.27,0.125
3,2,0,4,30.0,False,timeout,1.181,[],[],0.01,0.027,0.0
3,3,0,4,30.0,False,timeout,1.223,[],[],0.011,0.028,0.0
3,4,0,4,30.0,False,timeout,1.203,[],[],0.011,0.025,0.0
3,5,0,4,30.0,False,timeout,1.202,[],[],0.011,0.028,0.0
