level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,2,4,6.76,True,out_of_bounds,1.651,"[2.94, 5.24]","[2.4, 3.05]",0.057,0.61,0.25
2,4,0,4,2.62,True,out_of_bounds,1.493,[],[],0.058,1.004,0.0
0,1,4,4,10.78,False,completed,1.683,"[2.82, 5.16, 8.04, 10.74]","[3.65, 6.53, 18.23, 7.9]",0.056,1.078,1.9276
1,1,4,4,10.74,False,completed,1.693,"[2.78, 5.12, 8.0, 10.7]","[2.25, 6.11, 17.47, 7.65]",0.056,0.429,1.9311
1,2,4,4,10.8,False,completed,1.712,"[2.84, 5.18, 8.08, 10.76]","[4.17, 6.28, 16.21, 8.3]",0.055,0.904,1.9259
1,3,4,4,10.84,False,completed,1.704,"[2.88, 5.22, 8.12, 10.8]","[1.42, 4.69, 17.66, 6.48]",0.056,0.971,1.9225
2,1,4,4,10.7,False,completed,1.693,"[2.58, 5.22, 7.92, 10.66]","[12.53, 13.45, 7.79, 21.64]",0.058,0.651,1.9346
3,1,1,4,7.5,True,out_of_bounds,1.236,[2.44],[2.7],0.053,0.551,0.125
0,3,4,4,10.78,False,completed,1.681,"[2.82, 5.16, 8.06, 10.74]","[4.36, 6.15, 16.53, 4.74]",0.057,0.901,1.9276
0,2,4,4,10.78,False,completed,1.722,"[2.82, 5.16, 8.06, 10.74]","[3.83, 6.7, 16.29, 8.26]",0.055,0.983,1.9276
1,5,4,4,10.74,False,completed,1.662,"[2.8, 5.12, 8.02, 10.7]","[4.62, 5.53, 19.36, 7.95]",0.057,1.139,1.9311
2,2,2,4,8.06,True,out_of_bounds,1.712,"[2.9, 5.08]","[5.26, 6.35]",0.054,1.111,0.25
0,4,4,4,10.78,False,completed,1.694,"[2.82, 5.16, 8.04, 10.74]","[3.58, 4.83, 16.66, 5.17]",0.06,0.771,1.9276
1,4,4,4,10.74,False,completed,1.71,"[2.78, 5.12, 8.0, 10.7]","[1.41, 3.26, 17.68, 7.48]",0.055,0.811,1.9311
2,3,4,4,10.7,False,completed,1.704,"[2.76, 5.24, 8.08, 10.66]","[12.09, 16.68, 13.87, 25.86]",0.062,0.727,1.9346
0,5,4,4,10.78,False,completed,1.676,"[2.82, 5.14, 8.06, 10.74]","[4.85, 6.8, 19.41, 5.83]",0.066,0.856,1.9276
3,2,0,4,30.0,False,timeout,1.085,[],[],0.038,0.107,0.0
3,3,0,4,30.0,False,timeout,1.101,[],[],0.038,0.108,0.0
3,5,0,4,30.0,False,timeout,1.074,[],[],0.035,0.105,0.0
3,4,0,4,30.0,False,timeout,1.125,[],[],0.036,0.111,0.0
