level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,1,0,4,2.24,True,out_of_bounds,1.511,[],[],0.046,4.841,0.0
0,2,0,4,2.24,True,out_of_bounds,1.439,[],[],0.038,0.21,0.0
0,5,0,4,2.24,True,out_of_bounds,1.48,[],[],0.035,0.16,0.0
1,4,0,4,2.26,True,out_of_bounds,1.527,[],[],0.036,0.846,0.0
0,4,0,4,2.24,True,out_of_bounds,1.506,[],[],0.035,0.929,0.0
1,1,0,4,2.22,True,out_of_bounds,1.523,[],[],0.036,1.028,0.0
1,2,0,4,2.22,True,out_of_bounds,1.465,[],[],0.045,2.306,0.0
0,3,0,4,2.24,True,out_of_bounds,1.493,[],[],0.04,0.565,0.0
2,3,1,4,2.3,True,out_of_bounds,1.498,[2.18],[51.97],0.042,0.497,0.125
1,5,0,4,2.28,True,out_of_bounds,1.509,[],[],0.044,0.973,0.0
2,2,0,4,2.22,True,out_of_bounds,1.465,[],[],0.042,0.737,0.0
2,4,0,4,2.14,True,out_of_bounds,1.527,[],[],0.059,0.487,0.0
1,3,0,4,2.36,True,out_of_bounds,1.498,[],[],0.049,0.483,0.0
2,5,0,4,2.54,True,out_of_bounds,1.509,[],[],0.068,0.201,0.0
2,1,1,4,4.88,True,out_of_bounds,1.523,[2.04],[47.47],0.053,1.574,0.125
3,1,1,4,5.38,True,out_of_bounds,1.552,[1.2],[14.97],0.059,0.171,0.125
3,2,0,4,30.0,False,timeout,1.598,[],[],0.016,0.034,0.0
3,3,0,4,30.0,False,timeout,1.675,[],[],0.016,0.033,0.0
3,4,0,4,30.0,False,timeout,1.647,[],[],0.015,0.032,0.0
3,5,0,4,30.0,False,timeout,1.622,[],[],0.015,0.036,0.0
