level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,2,4,6.08,True,out_of_bounds,1.747,"[2.3, 3.82]","[10.16, 10.02]",0.041,0.914,0.25
2,5,0,4,1.66,True,out_of_bounds,1.651,[],[],0.039,0.47,0.0
0,2,3,4,7.1,True,out_of_bounds,2.024,"[2.24, 3.94, 6.08]","[6.91, 10.81, 26.78]",0.047,0.79,0.375
1,3,3,4,7.16,True,out_of_bounds,2.161,"[2.28, 3.98, 6.12]","[7.91, 6.86, 26.29]",0.042,0.343,0.375
0,4,4,4,8.14,False,completed,2.059,"[2.26, 3.94, 6.08, 8.1]","[7.74, 8.29, 27.04, 8.52]",0.044,0.607,2.2285
1,2,3,4,6.18,True,out_of_bounds,1.747,"[2.26, 3.94, 6.1]","[6.21, 10.83, 27.29]",0.04,0.298,0.375
0,3,4,4,8.14,False,completed,1.96,"[2.26, 3.94, 6.08, 8.1]","[7.82, 9.74, 25.57, 7.17]",0.044,0.889,2.2285
2,4,0,4,2.08,True,out_of_bounds,1.665,[],[],0.041,0.287,0.0
1,4,3,4,7.08,True,out_of_bounds,2.148,"[2.24, 3.9, 6.04]","[8.71, 5.63, 26.4]",0.041,0.636,0.375
0,5,4,4,8.14,False,completed,1.963,"[2.26, 3.96, 6.08, 8.1]","[8.86, 5.16, 25.21, 9.38]",0.042,1.191,2.2285
0,1,4,4,8.14,False,completed,2.002,"[2.26, 3.94, 6.08, 8.1]","[6.65, 8.61, 25.3, 9.66]",0.043,0.657,2.2285
1,1,4,4,8.12,False,completed,2.032,"[2.22, 3.92, 6.04, 8.08]","[5.66, 9.7, 26.16, 9.55]",0.043,0.683,2.2315
3,1,1,4,2.24,True,out_of_bounds,3.213,[1.16],[11.81],0.044,0.437,0.125
2,3,4,4,8.04,False,completed,2.161,"[2.2, 4.0, 6.08, 8.0]","[6.97, 18.41, 24.52, 33.35]",0.041,0.765,2.2438
1,5,4,4,8.12,False,completed,2.076,"[2.24, 3.94, 6.06, 8.08]","[9.93, 4.05, 25.67, 12.11]",0.044,0.866,2.2315
2,1,3,4,8.06,True,out_of_bounds,2.032,"[2.08, 4.04, 5.96]","[8.84, 12.66, 20.66]",0.047,1.09,0.375
3,2,0,4,2.22,True,out_of_bounds,2.367,[],[],0.021,0.06,0.0
3,3,0,4,4.0,True,out_of_bounds,2.248,[],[],0.022,0.055,0.0
3,5,0,4,6.54,True,out_of_bounds,4.22,[],[],0.022,0.052,0.0
3,4,0,4,30.0,False,timeout,3.486,[],[],0.02,0.045,0.0
